title,category,ingredients,instructions,prep_time,difficulty
Классический омлет,завтрак,"яйца (3 шт), молоко (50 мл), соль, перец, сливочное масло","Взбить яйца с молоком и солью. Разогреть сковороду с маслом. Вылить смесь и жарить 2-3 минуты до готовности.",5 минут,легко
Греческий салат,салат,"огурцы (2 шт), помидоры (2 шт), сыр фета (200г), маслины (50г), оливковое масло, орегано","Нарезать огурцы, помидоры и сыр кубиками. Добавить маслины. Заправить маслом и посыпать орегано.",10 минут,легко
Борщ,суп,"свекла (1 шт), капуста (300г), картофель (3 шт), морковь (1 шт), лук (1 шт), томатная паста, говядина (400г)","Сварить бульон из говядины. Добавить нарезанные овощи. Варить 30 минут. Добавить зажарку из лука, моркови и томатной пасты.",90 минут,средне
Панкейки,завтрак,"мука (200г), молоко (250мл), яйцо (1 шт), сахар (2 ст.л), разрыхлитель (1 ч.л), масло","Смешать сухие ингредиенты. Добавить яйцо и молоко. Жарить на сковороде с маслом до золотистого цвета.",15 минут,легко
Паста Карбонара,основное блюдо,"спагетти (400г), бекон (150г), яйца (3 шт), пармезан (100г), сливки (100мл), чеснок","Отварить пасту. Обжарить бекон с чесноком. Смешать яйца с сыром и сливками. Соединить всё и прогревать.",20 минут,средне
Оливье,салат,"картофель (4 шт), морковь (2 шт), яйца (4 шт), колбаса (300г), огурцы солёные (3 шт), майонез","Отварить картофель, морковь и яйца. Нарезать всё кубиками. Добавить майонез и перемешать.",40 минут,легко
Сырный суп,суп,"курица (300г), картофель (3 шт), морковь, лук, плавленый сыр (200г), зелень","Сварить куриный бульон. Добавить овощи. Варить 15 минут. Добавить натёртый сыр до растворения.",35 минут,легко
Шоколадный торт,десерт,"мука (250г), сахар (200г), яйца (3 шт), какао (50г), масло (150г), шоколад (100г)","Взбить масло с сахаром. Добавить яйца, муку, какао. Выпекать 30 минут при 180°C. Покрыть растопленным шоколадом.",60 минут,средне
Цезарь с курицей,салат,"куриное филе (300г), салат романо (1 шт), сухарики (100г), пармезан (100г), соус цезарь","Обжарить курицу. Нарезать салат. Смешать всё с сухариками и сыром. Заправить соусом.",20 минут,легко
Грибной крем-суп,суп,"шампиньоны (500г), сливки (200мл), лук, картофель (2 шт), сливочное масло","Обжарить лук и грибы. Добавить картофель и бульон. Варить до мягкости. Измельчить блендером. Влить сливки.",40 минут,средне
Рис с овощами,гарнир,"рис (200г), морковь, перец, кукуруза (100г), соевый соус, кунжутное масло","Отварить рис. Обжарить овощи. Смешать с рисом, добавить соевый соус и масло.",25 минут,легко
Курица в сливочном соусе,основное блюдо,"куриное филе (500г), сливки (200мл), чеснок, сыр (100г), мука","Обжарить курицу. Влить сливки, добавить чеснок и сыр. Тушить 10 минут.",25 минут,легко